"metal","var","strata","n","units","armean","geomean","P5%","P10%","P25%","P50%","P75%","P90%","P95%"
"Cd",NA,"All particpants",100,"_mcg_perL",0.6526297,0.307428828836917,0.041205,0.05743,0.15,0.3705,0.65875,1.069,1.4335
"Cd",NA,"All particpants",100,"cr_mcg_g",0.735323839336631,0.470503007407612,0.0479079166666667,0.107519230769231,0.353693222017829,0.604835680751174,0.860921610169492,1.27485268927715,1.47368837209302
"Cd","sex","Female",42,"_mcg_perL",1.03248333333333,0.419036554656434,0.058185,0.08148,0.15325,0.5245,0.929,1.493,1.7585
"Cd","sex","Male",58,"_mcg_perL",0.377563275862069,0.245664689824785,0.032065,0.05088,0.15275,0.3165,0.592,0.7579,0.91345
"Cd","sex","Female",42,"cr_mcg_g",1.08095707155009,0.704460007392438,0.128999505928854,0.17017816091954,0.517770935960591,0.79493015019348,1.25813331635577,1.50080930232558,2.03977657935285
"Cd","sex","Male",58,"cr_mcg_g",0.485037705664813,0.351257344094138,0.0358042038583357,0.0489724324324324,0.277708333333333,0.474126984126984,0.679549718574109,0.868485294117647,0.928275926971579
"Cr",NA,"All particpants",100,"_mcg_perL",0.83692,0.557839637603998,0.050845,0.08173,0.5155,0.784,0.919,1.06,1.2075
"Cr",NA,"All particpants",100,"cr_mcg_g",1.48968542642253,0.853743053755978,0.0610635198135198,0.0935073131094258,0.558882703119833,0.964881003522639,2.08336538461539,3.37790588235294,4.15586972212197
"Cr","sex","Female",42,"_mcg_perL",1.05399761904762,0.623684002740196,0.054435,0.1436,0.51275,0.8055,0.9505,1.176,1.4745
"Cr","sex","Male",58,"_mcg_perL",0.679725862068966,0.514542315668013,0.0501,0.07979,0.53275,0.781,0.868,0.9526,1.066
"Cr","sex","Female",42,"cr_mcg_g",1.73032208689235,1.04850145482208,0.0921927139761647,0.21406038647343,0.648406540940559,1.18657443710093,2.32178571428572,3.61715294117647,4.94774320771253
"Cr","sex","Male",58,"cr_mcg_g",1.31543129297886,0.735705108269731,0.0581536388140162,0.0773151959906927,0.521592098377812,0.786818181818182,1.4656604665826,3.24446896551725,3.95537581699346
"Cu",NA,"All particpants",100,"_mcg_perL",9.54125,5.30864912761683,0.57575,1.019,3.085,6.835,11.9,16.94,21.28
"Cu",NA,"All particpants",100,"cr_mcg_g",12.8440705974539,8.12459712794371,0.833314393939394,1.07477424749164,6.79431818181818,9.4196518133791,14.6265756302521,20.5154838709677,28.3946519524618
"Cu","sex","Female",42,"_mcg_perL",12.0256904761905,5.55485966436544,0.74685,1.04,3.145,6.175,11.75,20.41,27.08
"Cu","sex","Male",58,"_mcg_perL",7.7421724137931,5.13719935771875,0.57525,1.0128,3.09,7.28,11.525,14.6,18.555
"Cu","sex","Female",42,"cr_mcg_g",15.3087994464134,9.3385086258912,0.878833612040133,1.48415492957746,7.42433196300103,9.84645357284374,15.7352476290832,24.6342168674699,43.6137931034482
"Cu","sex","Male",58,"cr_mcg_g",11.0592669482074,7.34529249507286,0.702261904761905,0.864944812362031,6.39642857142857,9.16829268292683,13.7823275862069,18.9008116883117,26.3095307917889
"Hg",NA,"All particpants",100,"_mcg_perL",1.9953341,0.352156538086609,0.020285,0.04956,0.1145,0.4755,0.94575,2.074,2.5035
"Hg",NA,"All particpants",100,"cr_mcg_g",1.92650531895266,0.53895631998747,0.0582845197255574,0.0697549668874172,0.236168585822238,0.576472471190781,1.25610902255639,2.6016875,4.73655956112852
"Hg","sex","Female",42,"_mcg_perL",3.57569285714286,0.330381210267707,0.020165,0.03075,0.11725,0.368,0.7795,1.449,2.056
"Hg","sex","Male",58,"_mcg_perL",0.850936379310345,0.368815496590453,0.020725,0.05515,0.12125,0.567,1.0035,2.154,2.5305
"Hg","sex","Female",42,"cr_mcg_g",2.905376677152,0.555417772605386,0.0580740595611286,0.0722535211267606,0.269859985261606,0.516673931996513,0.962403654010848,2.81366808252427,4.69431818181818
"Hg","sex","Male",58,"cr_mcg_g",1.21766743887727,0.527341360638849,0.063105748135147,0.0729649006622517,0.194353281853282,0.640847996089932,1.35544642857143,2.05214285714286,3.48419167039857
"Mn",NA,"All particpants",100,"_mcg_perL",0.430645,0.210700375583444,0.021705,0.03596,0.13125,0.2135,0.4085,0.8454,1.122
"Mn",NA,"All particpants",100,"cr_mcg_g",0.846030080571433,0.322465400362672,0.0232486263736264,0.0693289957134109,0.171737478411053,0.316549666549666,0.74025974025974,1.42944741532977,2.74881459914734
"Mn","sex","Female",42,"_mcg_perL",0.573602380952381,0.214355971001769,0.022165,0.04282,0.13,0.202,0.3525,0.8579,1.585
"Mn","sex","Male",58,"_mcg_perL",0.327124137931035,0.20809219905791,0.024575,0.03528,0.13275,0.232,0.42125,0.7708,0.9233
"Mn","sex","Female",42,"cr_mcg_g",1.22591475948632,0.360362854358441,0.0293156354515051,0.0743478186190313,0.182387131005209,0.308417338709677,0.773896551724138,1.40954545454546,3.10883331600291
"Mn","sex","Male",58,"cr_mcg_g",0.57094117515031,0.29753528364179,0.0232074175824176,0.0644297476284232,0.15675641025641,0.316549666549666,0.627777777777778,1.43117647058824,1.74438871473354
"Pb",NA,"All particpants",100,"_mcg_perL",2.166142,1.4526557472642,0.13195,0.1969,1.1,2.21,2.5475,3.033,3.3905
"Pb",NA,"All particpants",100,"cr_mcg_g",4.16897165296109,2.22321016672879,0.171249611680646,0.223400349650349,1.38885316810849,2.39776506070683,5.41801470588235,10.2024444444444,13.6610640998519
"Pb","sex","Female",42,"_mcg_perL",2.59997619047619,1.62126502852669,0.1466,0.2014,1.2825,2.38,2.7775,3.909,4.2185
"Pb","sex","Male",58,"_mcg_perL",1.85198620689655,1.34161412316031,0.097685,0.1964,1.08,2.185,2.3475,2.776,2.962
"Pb","sex","Female",42,"cr_mcg_g",4.87254435405215,2.72557694857297,0.213584486166008,0.323119658119658,1.63407734542851,3.50515575816781,6.11923076923077,11.812,14.4068436640576
"Pb","sex","Male",58,"cr_mcg_g",3.65948797286067,1.91827247960049,0.0950798517520215,0.215845644421803,1.34238368014963,2.05687229437229,4.46343001261034,9.57729032258065,11.4566993464052
"Se",NA,"All particpants",100,"_mcg_perL",22.21222,11.9483362334497,1.854,2.559,5.2925,14.85,29.725,39.71,49.52
"Se",NA,"All particpants",100,"cr_mcg_g",26.2398269713754,18.2862750790936,2.19750221043325,2.76923188405797,18.5267857142857,23.8434117570809,28.6044034090909,36.9815100154083,41.8691842138444
"Se","sex","Female",42,"_mcg_perL",29.2073095238095,13.696566563747,2.5505,2.639,7.695,15.45,30.525,49.17,53.925
"Se","sex","Male",58,"_mcg_perL",17.1468103448276,10.8233813082443,1.769,2.116,4.94,13.65,28.875,37.33,39.715
"Se","sex","Female",42,"cr_mcg_g",34.7478745820819,23.0258751307726,2.77676328502415,3.42415172855314,22.3589971550498,27.546229031832,34.2708500400962,38.6868169014084,77.1486063263387
"Se","sex","Male",58,"cr_mcg_g",20.0788269774155,15.4755336436977,2.03810758465575,2.37980694980695,17.0332167832168,20.2040816326531,24.783422459893,28.6909090909091,32.6424933300995
